latin,common,image_name,height_code,bloom_code,sun_code,moist_code,cat_code,deer_code,wild_code ,soil_code,wildlife_comments,design_function,gardening_tips,credit_code,region_code
Ilex verticillata,Winterberry; Winterberry Holly; Black Alder,ilex_verticillata.jpg,3,3,3,5,2,3,15,6,Larval host to Henrys Elfin butterfly.,Winter interest. Commercial spaces. Specimen. Hedge.,Gorgeous red berries are persistent until late winter.,1,7
Impatiens capensis,Orange Jewelweed; Spotted Jewelweed,impatiens_capensis.jpg,2,4,5,5,1,6,11,6,"Grouse, bobwite quail, ruby throat hummingbird, white footed Mouse.  ", Wood edge. Rain garden.  , Self-seeding annual. May be difficult to find for sale. ,1,7
Iris cristata,Dwarf Crested Iris,iris_cristata.jpg,1,2,5,4,1,2,8,7,,Short border. Erosion control. ,Spreads politely.,1,7
Iris virginica,Virginia Blueflag; Southern Blueflag,logo_785x853.jpg,2,3,2,6,1,6,13,5,,Pond edges. Lily pools. Drainage ditches.,"This conspicuous, showy iris is highly deer resistant.",6,7
Itea virginica,Virginia Willow; Virginia Sweetspire,itea_virginica.jpg,4,3,2,5,2,4,1,6,Favorite midsummer flower for bees.,"Spring flowers, fall color. Semi-formal plantings (or formal if pruned). Hedges. Commercial spaces. Erosion control. Mass plantings. Containers. ",There are cultivars in smaller sizes. Superstar in full sun wetter areas; grows well in part shade drier areas.,1,4
Jeffersonia diphylla,Twinleaf,jeffersonia_diphylla.jpg,1,2,5,4,1,6,30,3,, Woodland garden.  ,Interesting leaves.,1,7
Juncus effusus,Common Rush; Soft Rush,juncus_effusus.jpg,2,4,2,5,6,6,1,6,,,"The soft, grass-like stems of Common Rush, a strictly wetland plant, grow in clumps and provide very good shoreline protection.",5,7
Juniperus virginiana,Eastern Red Cedar,juniperus_virginiana.jpg,6,1,1,2,5,2,16,6,"Nesting habitat and food source for over 54 species of backyard birds including the cedar waxwing, which was named for this tree; important winter food source for pheasants and deer; many birds nest in the trees and many mammals eat or use it for shelter; larval host to the olive butterfly and a total of 42 species of Lepidoptera.",Evergreen. Specimen. Commercial spaces. Screen. Wind break.,"30-60 feet. Do not plant near apple trees, which share a common disease. Resistant to extremes of drought, heat, and cold. ",1,6
Kalmia latifolia,Mountain Laurel,kalmia-latifolia.jpg,4,3,5,3,2,3,13,6,"The stamens of the flowers have an odd, springlike mechanism which spreads pollen when tripped by a bee. Ruffed grouse, Whitetail Deer. Larval host to larval sphinx (Sphinx kalmiae).",Evergreen.,"Not always easy to establish, needs afternoon shade. Prune lightly after bloom to encourage a bushier shape. ",1,7
Lespedeza procumbens,Trailing Bush-clover,logo_785x853.jpg,1,5,3,2,1,6,1,6,"Ruffed Grouse, Mourning Dove, bobwhite Quail,Wild Turkey, Junco; rabbits; southern cloudywing, northern cloudywing, hoary edge butterflies feed on foliage.  ",,,6,7
Lespedeza virginica,Slender Lespedeza; Slender Bush-clover,logo_785x853.jpg,2,5,5,1,1,6,21,4," Ruffed Grouse, Mourning dove, bobwhite Quail,Wild Turkey, Junco.  ",,May be difficult to find for sale.,6,7
Liatris spicata,Dense Blazing Star; Gayfeather; Blazing Star,liatris_spicata.jpg,2,5,1,4,1,1,25,3,"Big butterfly magnet. Groundhogs and rabbits favor younger plants, deer are more likely to browse on mature plants, the corms are eaten by the Prairie Vole and Meadow Vole  ",Border. Pollinator garden.  ,,1,6
Lilium canadense,Canada Lily,logo_785x853.jpg,2,3,2,5,1,6,13,3," Great spangled fritillary and various swallowtails; deers, rabbits, voles, and chipmunks will browse  ",,,6,7
Lilium superbum,Turks-cap lily,lilium_superbum.jpg,4,5,1,4,1,5,24,7, Attracts eastern tiger swallowtail butterfly.  ,Tall borders. Pollinator garden.  ,Mid summer bloom. Larges and most spectacular of the native lilies of our region. Up to 40 flowers on a single plant. Slow-growing.,1,7
Lindera benzoin,Spicebush,lindera_benzoin.jpg,4,2,3,4,2,4,6,7,"A larval host for the eastern tiger swallowtail and spicebush swallowtail butterflies and 10 other species of Lepidoptera. Wood Thrush, Quail, Catbird, Crested flycatcher, Kingbird,  Robin, Thrush, Vireo. Berries are  a favorite food source for 17 species of migrating birds.",Commercial spaces.,You need both male and female plants to produce berries. Fruit and foliage are aromatic.,1,7
Liquidambar styraciflua,Sweetgum,liquidambar_styraciflua.jpg,7,3,2,5,5,6,6,6,"Seeds eaten by birds, squirrels, and chipmunks.",Shade tree.,Fruit litter problematic on sidewalks. Needs a lot of room.,4,6
Liriodendron tulipifera,Tulip-tree; Tulip-poplar; Yellow Poplar,liriodendronz-tulipifera.jpg,7,3,1,4,5,6,8,7,"Ruffed Grouse, Purple Finch,  Hummingbirds, Squirrels; larval host to eastern tiger swallowtail and tuliptree silkmoth (and a total of 21 species of Leipidoptera).",Shade tree.,"Fast growing, very tall. Member of the magnolia family.",6,6
Lobelia cardinalis,Cardinal Flower,lobelia_cardinalis.jpg,3,5,3,5,1,3,28,5," Depends on hummingbirds, which feed on the nectar, for pollination. "," Border, rain garden.  ",Short-lived but reseeds. Not drought-tolerant.,2,7
Lobelia siphilitica,Great Blue Lobelia,lobelia_siphilitica.jpg,2,5,3,5,1,3,8,6,, Border.  Woodland garden. ,Not drought tolerant. Attracts beneficial insects that eat garden pests.,1,7
Lonicera sempervirens,Trumpet Honeysuckle; Coral Honeysuckle,lonicera_sempervirens.jpg,5,3,2,4,3,1,24,6,"Fruits attract purple finch, goldfinch, hermit thrush, and American robin. Frequently visited by humminbirds and butterflies. Larval host for spring azure (Celastrina ladon), the day-flying snowberry clearwing moth (Hemaris diffinis), the great tiger moth (Arctia caja) and the Harris three-spot moth (Harrisimemna trisignata)",Evergreen. Arbors.,"Deer resistant. Long bloom, spring to summer. Great for arbors.",2,7
Lupinus perennis,Sundial Lupine; Lupine;,logo_785x853.jpg,2,3,1,4,1,6,22,4,Birds and small mammals eat seeds; larval host to Frosted Elfin and Elf butterflies  ,,Enhances soil fertility via nitrogen fixation.,6,7
Magnolia virginiana,Sweetbay Magnolia; Swamp Magnolia,magnolia_virginiana.jpg,5,3,5,5,5,4,29,6,"Yellow bellied Sapsucker, Towhee, Vireo, hummingbirds, White Footed Mouse, beetles; host plant for tiger swallowtail butterfly, palamedes swallowtail, spicebush swallowtail, and  sweetbay silkmoth.",Semi-evergreen. Commercial spaces. Foundations.,Fragrant flowers.,5,7
Maianthemum canadense,Canada Mayflower; False Lily-of-the-valley,maianthemum_canadense.jpg,1,3,5,4,1,6,19,6,"Flowers are cross-pollinated by small bees, flies, and beetles; berries are eaten by the Ruffed Grouse, White-Footed Mouse, and Eastern Chipmunk ", Woodland garden.  ,,6,7
Maianthemum racemosum,Eastern Solomons-plume; False Solomons-seal,maianthemum_racemosum.jpg,2,2,5,4,1,4,1,6," Birds are attracted to the berries, which last through late sumer and into the fall.  ", Woodland garden. Taller ground cover. ,A beautiful choice for home landscaping in lightly shaded settings. It spreads politely by rhizomes.,6,7
Matteuccia struthiopteis,Ostrich fern,matteuccia_struthiopteris.jpg,2,1,5,5,4,1,30,7,Provide substantial protective cover to various kinds of wildlife.,,,6,7
Medeola virginiana,Indian Cucumber-root; Indian Cucumber,logo_785x853.jpg,2,3,2,4,1,6,30,7,Mice eat seeds and berries.  , Woodland garden.,,5,7
Mertensia virginica,Virginia Bluebell; Virginia Cowslip,mertensia_virginica.jpg,2,2,5,4,1,2,11,5,Pollinated by long-tongued bees. Provides cover to many kinds of wildlife.  ,Short border. Rain garden.  ,1 - 2 feet. Foliage dies back in summer - interplant with other perennials. Reseeds freely. Spectacular in masses.,1,3
Micranthes virginiensis (Saxifraga v.),Early Saxifrage,logo_785x853.jpg,1,2,3,2,1,6,30,1,,,,6,7
Mimulus ringens,Square-stemmed Monkeyflower; Allegheny Monkeyflower,logo_785x853.jpg,2,4,2,6,1,6,15,3,Larval host to common buckeye and Baltimore checkerspots.,,,6,7
Mitchella repens,Partridge-berry,mitchella_repens.jpg,1,4,5,2,1,2,1,7,Berries are consumed by a variety of birds and mammals.  , Extremely short (under 2 inches) groundcover under acid-loving shrubs. Evergreen. Terrarium.  ,Slow to get established. Keep leaves and mulch from smothering the tiny plants.  ,5,7
Monarda didyma,Scarlet Beebalm; Oswego Tea,monarda_didyma.jpg,3,4,2,5,1,2,11,3,Great for hummingbirds.  , Border. Pollinator garden.  ,They bloom best in full sun. Cutting spent blooms to side buds prolongs blooming but they do not usually re-bloom. You can cut stems down to 4-5 inches of the ground once they are done flowering to promote healthier mounds of plants. Spread enthusiastically by underground rhizomes but easy to pull up.  ,5,2
Monarda fistulosa,Wild Bergamot,monarda_fistulosum.jpg,3,5,2,2,1,6,28,5,Great for hummingbirds.  , Border. Pollinator garden.Erosion control.  ,"They bloom best in full sun, a fairly long summer bloom. Cutting spent blooms to side buds prolongs blooming but they do not usually re-bloom. You can cut stems down to 4-5 inches of the ground once they are done flowering to promote healthier mounds of plants. Spread enthusiastically by underground rhizomes but easy to pull up.  ",1,7
Morella cerifera,Wax Myrtle; Southen Bayberry,morella_cerifera.jpg,4,8,2,3,5,6,1,6,Berries eaten by many species of birds; larval host to banded hairstreak and red-banded hairstreak butterfly.,Tolerates city conditions (and some salt). Evergreen. Commercial spaces. Screening.,"You need both male and female trees to get fruit. Leaves are aromatic, with an appealing, piquant fragrance when crushed. ",1,7
Nuttallanthus canadensis ( Linaria c.),Blue Toadflax; Canada Toadflax; Oldfield Toadflax,logo_785x853.jpg,1,3,2,2,1,6,13,7,,,,6,7
Nyssa sylvatica,Sour Gum; Black Gum,nyssa_sylvatica.jpg,6,3,3,2,5,6,19,7,"Fruits eaten by 86 species of birds; bears and foxes will eat fruit, while deer and beaver eat twigs and foliage; also provides good cavity nest sites. Hosts 26 species of Lepidoptera.",Shade tree. Beautiful fall color.,One of the first plants to color in the fall.,5,6
Oenothera fruticosa,Narrow-leaf Sundrops; Southern Sundrops,oenothera_fruticosa.jpg,2,3,1,4,1,3,11,6,,Border. ,Spreads nicely under favorable conditions.,1,7
Onoclea sensibilis,Sensitive Fern; Bead Fern,onoclea_sensibilis.jpg,2,1,3,5,4,6,5,6,Shelters salamanders and frogs.,Spreading. Erosion control.,,1,7
Opuntia humifusa,Eastern Prickly-pear,opuntia_humifusa.jpg,1,4,1,2,1,2,15,7,Host to 5 species of Lepidoptera. :arvae of several moths feed on the pads , Specimen. Rock gardens.,"A striking plant with beautiful, showy flowers. Blooms from late spring to mid-summer and lasts about a month for a colony of plants, although each flower lasts only a single day. It is faster and easier to start new plants using pads rather than seeds. ",3,7
Osmorhiza claytonii,Sweet Cicely {or O. longistylis},osmorhiza_claytonii.jpg,2,2,6,3,1,6,13,1,,,Spring bloom.,6,7
Osmunda claytoniana,Interrupted Fern,logo_785x853.jpg,2,1,5,4,4,6,5,5,Caterpillars of the Osmunda Borer Moth feed on the fern; provides cover for ground-nesting birds and other animals.,,,6,7
Osmunda spectabilis var. spectabilis,Royal Fern,osmunda_spectabilis.jpg,2,1,3,5,4,6,5,6,"Hosts six species of native caterpillars, including the Osmunda Borer moth.","Unique foliage, tall. Ground cover.",,5,7
Osmundastrum cinnamomeum,Cinnamon Fern,osmundastrum_cinnamomeum.jpg,3,1,3,6,4,2,1,5,The fuzz that covers the young fiddleheads is a favorite nesting material for birds.,Wet areas. Clumping. Accent plant.,3-4 feet.,1,7
Oxalis violacea,Violet Wood-sorrel,logo_785x853.jpg,1,3,5,2,1,6,19,3,,,,6,7
Packera aurea,Golden Ragwort; Heartleaf Ragwort,packera_aurea.jpg,1,2,3,2,1,2,13,3,Larval host for 18 species of Lepidoptera. ,Groundcover. Semi-evergreen. Erosion control. ,"Re-seeds easily, energetic spreader.",5,7
Panicum virgatum,Switchgrass,panicum_virgatum.jpg,3,5,2,3,6,6,6,6,,Garden accent. ,"Clump-forming, warm-season grass, turnign bright yellow in fall. ",1,7
Parathelypteris noveboracensis,New York fern,logo_785x853.jpg,2,1,2,3,4,6,30,6,Provides shelter for toads.,Spreading.,,6,7
Passiflora incarnata,Purple Passionflower; Maypop,passiflora_incarnata.jpg,5,4,1,2,3,6,5,6,"Larval Host to Gulf Fritillary, Zebra Longwing, Crimson-patch longwing, Red-banded hairstreak, Julia butterfly, Mexican butterfly. Wild turkey.","Edible fruit. Arbors, fences, walls, columns.","Spreads aggressively, can get into the lawn, though easily contained by removing the suckers or mowing. Needs a trellis.",5,7
Passiflora lutea,Yellow Passionflower,logo_785x853.jpg,5,4,4,4,3,6,16,7,"Larval Host to Julia, Mexican & Gulf fritillaries butterflies, Zebra & Crimson-patch.",,Spreads but less aggressively than Purple Passionflower.,6,7
Peltandra virginica,Arrow Arum; Green Arrow Arum; Tuckahoe,logo_785x853.jpg,2,2,4,6,1,1,30,5,"Preferred food of wood ducks, and is also eaten by muskrats and rails; snapping turtle and painted turtle may eat some of the foliage. The berries of arrow arum attracts wood ducs and king rails. ",Ponds. ,,6,7
Penstemon digitalis,Beardtongue; Tall or White Foxglove,penstemon_digitalis.jpg,2,3,2,2,1,6,10,6,, Borders. Pollinator garden.  ,,1,7
Phlox divaricata,Wild Blue Phlox; Woodland Phlox,phlox_divaricata.jpg,2,3,5,2,1,2,12,6,"Long-tongued bees. Flowers attract butterflies, including swallowtails, gray hairstreaks, and western pygmy blues, and skippers and moths. Roots consumed by rabbits and voles. ",Spring color. Ground cover. Erosion control. ,Often fragrant.,1,3
Phlox maculata,Meadow Phlox; Wild Sweet William,phlox_maculata.jpg,2,6,3,5,1,6,30,5,,Ground cover.,,5,7
Phlox paniculata,Fall Phlox; Garden Phlox,phlox_paniculata.jpg,3,4,2,4,1,6,18,3,,Tall borders.  ,Re-seeds politely. Long summer blooms. Needs at least 5 hours of sun to prevent powdery mildew (although that is not objectionable). The white  David cultivar is mildew-resistant.,1,7
Phlox subulata,Moss Phlox; Moss Pink,phlox_subulata.jpg,1,2,1,1,1,6,13,6,,Spring color. Ground cover. Erosion control. Rock garden. ,,5,3
Physocarpus opulifolius,Ninebark,physocarpus_opulifolium.jpg,4,3,3,5,2,1,14,5,,Winter interest. Subsitute for Spiraea japonica or Barberry. Erosion control. Hedges. Commercial spaces.,"Grows quickly in harsh conditions, ideal for erosion control on stream banks. Disease resistant and drought tolerant. ",1,3
Physostegia virginiana,Obedient Plant (pink); Northern Obedient-plant; Fall Obedient-plant,physostegia-virginiana.jpg,2,6,2,2,1,6,11,6,,Border.,"Spreads sideways very quickly, though easy to control. Long blooming.",5,3
Pinus echinata,Shortleaf Pine,pinus_echinata.jpg,7,1,1,2,5,6,23,6,Provides cover and nesting sites and seeds for small mammals and birds. Attracts butterflies; larval host to elfin butterfly.,Evergreen. Shade tree.,,5,6
Pinus rigida,Pitch Pine,pinus_rigida.jpg,7,1,1,1,5,6,1,7,,,,5,6
Pinus taeda,Loblolly Pine,pinus_taeda.jpg,7,1,1,3,5,6,23,6,Provides cover and nesting sites and seeds for small mammals and birds. Attracts butterflies; larval host to Elfin butterfly.,Evergreen. Shade tree.,"Among the fastest-growing southern pines, Loblolly will respond well to extra moisture and richer soils. A pioneer species along river bottoms.",5,7
Pinus virginiana,Virginia Pine; Scrub Pine,pinus_virginiana.jpg,7,1,1,2,5,6,1,6,Larval host to the Eastern Pine Elfin butterfly. Seeds are an important wildlife food.,,"Hardier than most pines and suitable for planting in poor, dry sites. It dislikes shallow, chalky soils and is not tolerant of over-topping by other trees.",5,7
Podophyllum peltatum,Mayapple,podophyllum_peltatum.jpg,2,2,3,2,1,4,3,3,"New colonies are started by box turtles, which consume the yellow fruit and spread the seed.",Woodland garden.,.5 - 1.5 feet. Ephemeral: the foliage dies back in summer. Spreads by roots.,5,7
Polemonium reptans,Spreading Jacobs Ladder; Greek Valerian,polemonium_reptans.jpg,2,2,5,4,1,6,14,7,,Woodland garden.,.5 - 1.5 feet,5,7
Polygonatum biflorum,Solomons seal,polygonatum_biflorum.jpg,2,2,5,2,1,6,1,3,"Mourning dove, Veery.",Woodland garden.,,1,7
Polystichum acrostichoides,Christmas Fern,polystichum_acrostichoides.jpg,2,1,5,4,4,1,1,7,,Evergreen. Clumping. Erosion control. ,,1,7
Prunus americana,American Wild Plum,prunus_americana.jpg,5,2,2,2,5,6,15,7,Grey and Red Fox.,"Hedge, specimen. Commercial spaces.",Thorns. Edible fruit.,5,6
Prunus angustifolia,Chickasaw Plum,logo_785x853.jpg,5,2,2,1,5,6,17,7,,Hedge. Commercial spaces.,Thorns. Edible fruit.,6,7
Pteridium aquilinum,Bracken Fern,pteridium_aquilinum.jpg,2,1,2,3,4,6,5,6,,,,5,7
Pycnanthemum incanum,Hoary Mountain Mint,logo_785x853.jpg,2,4,6,1,1,3,20,6,This mint is a particular bee magnet.,Pollinator garden.,Spreads sideways vigorously. Some people plant them near walkways to control spreading but also so that bumping into them releases their minty scent. ,6,7
Pycnanthemum tenuifolium,Narrow-leaf or Slender Mountain-mint,pycnanthemum_tenuifolium.jpg,2,4,2,3,1,6,11,4,,Pollinator garden. Erosion control.,Spreads sideways vigorously. Some people plant them near walkways to control spreading but also so that bumping into them releases their minty scent. Silvery foliage and long blooming period. Attracts benefical insects that control pests.,1,7
Quercus alba,White Oak,quercus_alba.jpg,7,3,2,2,5,3,6,7,One of the most important species in the white oak group. Acorns are an important food soruce for a wide variety of mammals and birds. Supports hundreds of species of caterpillars.,"Shade tree, commercial spaces",Slow-growing but can live up to 600 years. Good yard tree with few disease or pest problems.,1,6
Quercus bicolor,Swamp White Oak,quercus_bicolor.jpg,7,2,2,3,5,6,6,6,,"Shade tree, commercial spaces",,4,6
Quercus coccinea,Scarlet Oak,quercus_coccinea.jpg,7,2,1,2,5,6,6,7,,"Shade tree, street tree.",Grows rapidly.,4,6
Quercus falcata,Southern Red Oak; Spanish Oak,quercus_falcata.jpg,7,2,1,2,5,6,6,6,,"Shade tree, commercial spaces",Relatively fast growing for an oak.,5,6
Quercus marilandica,Blackjack Oak,quercus_marilandica.jpg,6,3,2,1,5,6,6,7,,,,5,7
Quercus michauxii,Swamp Chestnut Oak; Basket Oak,quercus_michauxii.jpg,7,2,1,5,5,6,6,3,,"Shade tree, commercial spaces",,5,7
Quercus montana (Quercus prinus),Chestnut Oak; Rock Chestnut Oak,logo_785x853.jpg,7,2,1,2,5,6,6,5,,"Shade tree, commercial spaces",,6,6
Quercus muehlenbergii,Chinquapin Oak; Chinkapin Oak; Yellow Oak,logo_785x853.jpg,6,2,1,2,5,6,6,3,,,,6,6
Quercus palustris,Pin Oak,quercus_palustris.jpg,7,2,1,5,5,6,5,5,,"Shade tree, commercial spaces",,5,6
Quercus phellos,Willow Oak,quercus_phellos.jpg,7,2,2,5,5,6,5,5,,"Shade tree, commercial spaces","Tolerates flood plains (though it prefers well-drained soil), grows quickly, and is easily transplanted when young.",5,7
Quercus rubra,Northern Red Oak,quercus_rubra.jpg,7,3,2,2,5,6,5,5,,"Shade tree, commercial spaces",,4,6
Quercus stellata,Post Oak,quercus_stellata.jpg,6,2,2,1,5,6,5,6,,"Shade tree, commercial spaces",,5,6
Quercus velutina,Black Oak,quercus_velutina.jpg,7,2,1,2,5,6,5,6,,,,5,6
Rhexia virginica,Virginia Meadow Beauty; Deergrass,rhexia_virginica.jpg,2,4,1,6,1,6,15,3,,,,5,7
Rhododendron maximum,Great Rhododendron,rhododendron_maximum.jpg,5,4,5,5,2,6,19,3,,Evergreen.,,5,7
Rhododendron periclymenoides,Wild Azalea; Pinxter; or Pinxterbloom Azalea,rhododendron_periclymenoides.jpg,4,3,2,2,2,3,1,3,,,"Especially showy flowers.Relatively tolerant of dry sites, and needs good drainage. ",5,7
Rhododendron viscosum,Swamp Azalea; Clammy Azalea,swamp_azalea.jpg,4,3,2,5,2,6,1,6,,,"Beautiful, fragrant flowers. ",5,7
Rhus aromatica,Fragrant sumac,rhus_aromatica.jpg,4,2,2,1,2,6,21,7,"98 different bird species have been seen eating the fruits and even more birds feeding on the 58 or so Lepidoptera species that use the Rhus genus as caterpillar host plants, per Alonso Abugattas.",Commercial spaces. Erosion control. Fall color.,Can handle very hot and poor soils.. The Gro-Low cultivar can server as ground cover.,1,5
Rhus copallinum,Winged Sumac; Shining Sumac; Flameleaf Sumac,rhus_copallinum.jpg,5,4,2,1,2,6,19,6,,Fall color.,Spreads slowly.,1,6
Rhus glabra,Smooth Sumac,rhus_glabra.jpg,4,3,1,2,2,6,21,7,,Commercial spaces.,Fast spreading and may not be suitable for garden settings. ,5,6
Rosa carolina,Carolina Rose; Pasture Rose,rosa_carolina.jpg,3,3,2,2,2,4,19,6," A plant that native bees nest beneath, within, or harvest parts from to construct their nests.",,"Although one of the most shade-tolerant roses, it grows best in open, sunny locations. Naturally disease resistant. ",5,6
Rosa palustris,Swamp Rose,rosa-palustris.jpg,4,3,3,5,2,6,19,5,,,"A good selection for wet soils. Flowers are followed by pea-sized red hips, and leaves turn shades of red in fall.",3,7
Rudbeckia fulgida,Orange Coneflower,rudbeckia_fulgida.jpg,2,5,2,2,1,2,19,3,,,Summer bloom.,1,3
Rudbeckia hirta,Black-eyed Susan,rudbeckia_hirta.jpg,2,5,1,4,1,6,23,1,"Birds, especially goldfinches and chickadees, enjoy the ripe seeds. ",,Blooms June to October. Reseeds and establishes clumps.,5,6
Rudbeckia laciniata,Cut-leaf Coneflower; Common Cut-leaf Coneflower; Green-headed Coneflower,logo_785x853.jpg,3,4,2,5,1,6,10,6,"Birds, especially goldfinches and chickadees, enjoy the ripe seeds. ",Border. Meadow.,Can tolerate some shade but blooms much better with full sun. Summer bloom. Cheerful blossoms liven up bouquets. Spreads rapidly by underground rhizomes. May ned staking in garden situations.,6,7
Ruellia caroliniensis,Carolina Wild-petunia; Common Wild-petunia,ruellia_caroliniensis.jpg,2,4,5,5,1,6,14,6,,,"Long summer bloom. It is moderately tolerant of salt and likes higher pH, and makes a good plant for the area between sidewalks and streets.",1,4
Saccharum giganteum (Erianthus giganteus),Giant Plumegrass; Sugarcane Plumegrass,saccharum_giganteum.jpg,3,6,2,2,6,6,5,7,,,,5,7
Salix nigra,Black Willow,salix_nigra.jpg,6,2,2,5,5,6,21,6,"Rabbits, White Tailed Deer,Meadow Mouse. Host plant for mourning cloak, viceroy, red-spotted purple, and tiger swallowtail butterflies.",,,1,6
Salix sericea,Silky Willow,logo_785x853.jpg,4,2,3,5,2,6,13,6,,,,6,1
Salvia lyrata,Lyre-leaf Sage,salvia_lyrata.jpg,2,3,2,2,1,6,2,7,,Border. Pollinator garden. Rain garden. Ground cover..,Semi-evergreen.,5,7
Sambucus canadensis,Common Elderberry; American Elder,sambucas_canadensis.jpg,4,4,4,3,2,3,22,6,"Warblers, goldfinches and Grosbeak use for nesting. Per Alonso Abugattas, this genus is known to host 42 species of Lepidoptera and several other insects. Some 120 bird species have been noted feeding on its fruits (and on the numerous insects feeding on the foliage or visiting the flowers). The broken stems provide homes for mason and Ceratina bees at times also. ",,"Prunes heavily in winter to maintain thick form. Individual plants very short-lived, hower root masses produce new shoots. ",1,6
Sanguinaria canadensis,Bloodroot,sanguinaria_canadensis.jpg,1,2,6,4,1,6,30,3,,,,1,7
Sassafras albidum,Sassafras,sassafras_albidum.jpg,6,2,2,2,5,6,23,7,"At least 23 species of birds eat the berries including insect eaters like the King bird, Phoebe, and Flycatcher. Larval host to 38 specides of lepidoptera and the preferred host plant for the Spicebush swallowtail.",,"Although Sassafras grows most quickly in fertile soil, it is an appropriate tree to introduce into disturbed sites.",5,6
Saururus cernuus,Lizards-tail; Water-dragon,saururus_cernuus.jpg,2,4,2,6,1,6,1,6,Redhead duck.,Pond or bog.,,1,7
Schizachyrium scoparium,Little Bluestem,schizachyrium_scoparium.jpg,3,7,2,1,6,2,6,7,,,"Wonderful planted en masse, provides a changing visual dynamic that ranges from blue-green stems in late summer to radiant mahogany-red, white-tufted seed heads in fall. A reddish-tan color persists during winter. An excellent plant in inhospitable conditions.",1,7
Scirpus cyperinus,Woolgrass bulrush,logo_785x853.jpg,3,4,1,5,6,6,6,6,One of the most important species of wetland plants that provide food and cover for waterfowl and other wildlife.,,"A densely-tufted, clump-forming perennial, 4-6 feet high, with intersesting wooly seed heads.",6,7
Scutellaria integrifolia,Rough or Hyssop Skullcap; Helmet Flower,scutellaria_integrifolia.jpg,2,3,2,3,1,6,3,1,,,,5,7
Sedum ternatum,Wild Stonecrop; Woodland Stonecrop,sedum_ternatum.jpg,1,2,4,2,1,6,3,7,,Border. Walls. Rock Gardens.,"Rock-loving, prostrate, spreading ground cover. Cuttings readily root nd may be taken from sterile shoots at any tmie during the growing season. Easy to propogate.",1,7
Senna marilandica (Cassia m.),Maryland Wild Senna; Southern Wild Senna,senna_marilandica.jpg,3,5,2,2,1,6,19,7,,Pollinator garden.,"Interesting foliage and nice yellow flowers. Self seeds, tends to take over. ",1,7
Silene caroliniana,Wild Pink; Northern Wild Pink,silene_caroliniana.jpg,1,2,4,1,1,6,26,3,,Border.  Ground cover.,"A single wild pink plant can produce 50-100 showy, tubular flowers.",5,7
Silphium perfoliatum,Cup Plant,silphium_perfoliatum.jpg,3,4,2,5,1,6,20,1,Great for attracting butterflies.,Very tall border. Meadow.,,1,7
Sisyrinchium angustifolium,Narrow-leaved Blue-eyed-grass,sisyrinchium-angustifolium.jpg,1,3,2,2,1,4,1,5,,,"Although grass-like, it is a miniature member of the iris family. Like iris, they should be divided every two years. Avoid heavy mulch. Reseeds and can form thick stands over time.",5,7
Solidago altissima,"Tall, Late, or Canada Goldenrod",solidago_altissima.jpg,3,7,1,4,1,1,21,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ",Very tall. Spreads aggressively by rhizomes.,1,6
Solidago caesia,Wreath or Bluestem Goldenrod,solidago_caesia.jpg,3,5,2,2,1,1,21,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ",Shade tolerant. Not as aggressive as some goldenrods.,5,6
Solidago flexicaulis,Zigzag or Broadleaf Goldenrod,solidago_flexicaulis.jpg,2,5,2,4,1,1,21,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ",May be aggressive but generally not very. Shade tolerant.,5,5
Solidago graminifolia,Grass-leaved Goldenrod,logo_785x853.jpg,3,5,2,2,1,1,21,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ",Aggressive.,6,1
Solidago juncea,Early or Plume Goldenrod,solidago_juncea.jpg,3,5,1,2,1,1,21,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ",,1,6
Solidago nemoralis,Field Goldenrod,solidago_nemoralis.jpg,2,6,1,2,1,1,21,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ",Short. May be aggressive.,5,6
Solidago odora,Sweet Goldenrod; Anise-scented Goldenrod,solidago_odora.jpg,2,5,2,2,1,1,20,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ","Primarily clump-forming, does not spread aggressively as do some of the other goldenrod species and hybrids.",1,6
Solidago rugosa,Wrinkle-leaved Goldenrod,solidago_rugosa.jpg,3,6,1,5,1,1,21,1,Goldenrods provide late-season food for bees and butterflies and may attract beneficial insects that target pests. 115 different caterpillars have been documented feeding on goldenrods.,"Border, pollinator garden. ",Somewhat shade-tolerant and spreads quickly by runners.,6,6
Sorghastrum nutans,Indian Grass,sorghastrum_nutans.jpg,3,6,1,2,6,2,23,6,,,,1,7
